ZCTA5,LANDSQMT,WATERSQMT,LANDSQMI,WATERSQMI,POPULATION,HSGUNITS,INTPTLAT,INTPTLON,,
01053,13289904,251888,5.13126084,0.097254505,1685,636,42.356301,-72.713584,,
01054,59071058,425618,22.80746397,0.164332036,1851,811,42.469588,-72.484502,,
01056,70460584,2836425,27.20498473,1.095149862,21103,8383,42.188865,-72.459079,,
01057,116307957,1607537,44.90675517,0.620673532,8534,3470,42.093596,-72.321494,,
01060,28276974,3261695,10.91780116,1.259347534,15284,7307,42.321488,-72.630588,,
01062,47018995,396854,18.15413624,0.153226193,11150,4784,42.328314,-72.703923,,
01063,100502,0,0.038804041,0,430,1,42.318882,-72.63853,,
01066,1839260,121053,0.710142286,0.046738827,64,25,42.406903,-72.655018,,
01068,53949370,1008115,20.8299691,0.389235394,1902,711,42.350862,-72.044248,,
01069,72688936,766584,28.06535629,0.29597975,8469,3779,42.187794,-72.308469,,
01070,53200760,594033,20.54092915,0.229357433,629,320,42.518446,-72.919017,,
01071,40349276,803435,15.57894322,0.310208001,1596,638,42.16006,-72.873853,,
01072,52021993,1342210,20.08580464,0.5182302,1478,748,42.456968,-72.417244,,
01073,72913678,2077741,28.15212966,0.802220319,5792,2337,42.226948,-72.741588,,
01074,220752,52379,0.085232827,0.020223646,319,132,42.387603,-72.09323,,
01075,45888980,1773571,17.71783499,0.684779621,17527,7162,42.256346,-72.580763,,
01077,79825932,2153492,30.82096597,0.831467945,9502,3916,42.05257,-72.777353,,
01079,2921898,108238,1.128151173,0.041790927,692,325,42.197424,-72.32702,,
01080,4473453,258220,1.727209933,0.099699304,2334,1093,42.182218,-72.365654,,
01081,37544477,568325,14.49600423,0.219431519,1698,820,42.061313,-72.234411,,
01082,119411357,16183211,46.10498466,6.248372965,10322,4768,42.293533,-72.278599,,
01083,40871193,156824,15.78045651,0.060550087,2888,1270,42.203642,-72.194599,,
01084,23821014,222863,9.197345316,0.086047889,176,88,42.39237,-72.882235,,
01085,155258467,2964576,59.94563179,1.144629242,41117,16363,42.153503,-72.771602,,
01086,96152,0,0.037124496,0,687,0,42.130446,-72.793967,,
01088,13468904,36984,5.200373129,0.014279603,670,357,42.391709,-72.646494,,
01089,43286505,2094117,16.71301373,0.808543128,28391,12697,42.125451,-72.649734,,
01092,17359776,80681,6.702647271,0.03115111,1394,591,42.191868,-72.235107,,
01093,13063805,16741,5.043963524,0.006463737,325,156,42.435121,-72.654963,,
01094,2942290,169907,1.136024568,0.065601462,351,171,42.359108,-72.1368,,
01095,58570047,581247,22.61402254,0.224420731,14319,5535,42.127327,-72.427404,,
01096,82059161,532858,31.68322054,0.205737633,2217,1029,42.39714,-72.763572,,
01097,4426154,208868,1.708947686,0.080644389,111,40,42.178038,-72.832611,,
01098,81200703,384439,31.35176804,0.148432734,1101,610,42.394315,-72.943115,,
01103,1191989,205067,0.460229545,0.079176815,2479,1661,42.104106,-72.592028,,
01104,13509560,212850,5.216070499,0.082181848,22865,9381,42.134009,-72.565378,,
01105,3219040,306964,1.242878345,0.118519468,12350,5586,42.095207,-72.577579,,
01106,24090566,1331605,9.301419929,0.514135587,16021,6107,42.047565,-72.57113,,
01107,3903756,89142,1.507248682,0.03441792,11611,4252,42.12106,-72.607068,,
01108,9643254,406401,3.723281343,0.15691231,26688,10992,42.080692,-72.560791,,
01109,14094949,487865,5.442090465,0.188365738,30250,10818,42.119674,-72.549726,,
01118,9312203,260877,3.595461832,0.100725177,14071,5911,42.093732,-72.525905,,
01119,9194297,241739,3.549938069,0.093335954,14152,5185,42.124978,-72.51121,,
01128,2892857,1287,1.11693838,0.000496913,2631,1077,42.092296,-72.489135,,
01129,8867992,237886,3.423950999,0.091848302,7019,2982,42.119062,-72.487402,,
01151,6134290,464565,2.368462711,0.179369557,8698,3699,42.15186,-72.509131,,
01199,28277,0,0.010917811,0,0,0,42.120563,-72.604468,,
01201,137058017,6752938,52.91839846,2.607324049,46504,22443,42.448236,-73.273727,,
01220,63689337,204142,24.59059154,0.07881967,8603,4434,42.623799,-73.116737,,
01222,8565484,333235,3.307152002,0.128662758,829,361,42.058703,-73.322175,,
01223,180653860,5294145,69.75084827,2.044080899,2314,1986,42.312225,-73.110124,,
01224,720507,82246,0.27818932,0.031755359,182,81,42.513356,-73.195594,,
01225,65025449,1821072,25.10646729,0.70311986,3117,1466,42.563363,-73.153566,,
01226,68319649,366617,26.37836507,0.141551621,6945,2993,42.481119,-73.135073,,
01229,1897309,1745,0.732555132,0.000673748,95,61,42.276339,-73.335896,,
01230,237032746,4530189,91.51885877,1.749115826,8430,4633,42.172941,-73.324463,,
01235,118213863,2794609,45.64262962,1.079004613,2766,1507,42.43062,-73.064073,,
01236,12437975,157895,4.8023292,0.060963603,1509,784,42.266496,-73.378393,,
01237,160121626,1140685,61.82330806,0.440420959,2496,1334,42.547818,-73.268033,,
01238,90217712,2706357,34.83325483,1.044930324,6047,3155,42.297501,-73.230148,,
01240,55374233,1159162,21.3801118,0.447554969,4534,2920,42.367861,-73.269768,,
01242,1288423,24934,0.497462923,0.009627072,476,214,42.333734,-73.249199,,
01243,48306686,57277,18.65131653,0.022114774,334,188,42.350122,-73.024112,,
01244,6345198,70886,2.449894749,0.027369239,151,84,42.118094,-73.257497,,
01245,72467551,2047530,27.97987906,0.790555786,985,914,42.186893,-73.223105,,
01247,136035510,1480109,52.52360629,0.571473304,16087,7785,42.698437,-73.08409,,
01253,47310437,1044523,18.26666263,0.403292602,731,568,42.206682,-73.113214,,
01254,37713379,147081,14.56121766,0.056788294,972,591,42.382019,-73.365492,,
01255,134177247,3047061,51.8061269,1.176476879,915,671,42.107496,-73.118607,,
01256,92838285,452299,35.84506376,0.174633628,692,357,42.594166,-73.022319,,
01257,93848678,2221979,36.2351787,0.857910925,2121,1231,42.085245,-73.367482,,
01258,66839821,399664,25.80700026,0.15431114,374,338,42.10928,-73.462886,,
01259,65593267,2042077,25.32570305,0.788450371,635,431,42.075469,-73.234376,,
01260,6503634,101867,2.511067233,0.03933107,240,134,42.295696,-73.342543,,
01262,31167340,2127685,12.03377776,0.821503806,1238,1068,42.292202,-73.319209,,
01264,29425420,90081,11.36121866,0.03478047,137,109,42.23159,-73.202428,,
01266,67473737,780772,26.05175661,0.301457767,1463,1096,42.312338,-73.387824,,
01267,141293372,342660,54.55367824,0.132301771,7989,3202,42.671616,-73.246981,,
01270,82512104,420829,31.85810282,0.162482992,778,441,42.515272,-73.031166,,
01301,66020418,1388444,25.49062698,0.536081248,17700,8485,42.626761,-72.60153,,
01330,86313800,631880,33.32594591,0.243970242,1506,771,42.513947,-72.821517,,
01331,137844144,3586460,53.22192381,1.384740007,13263,6028,42.562408,-72.19108,,
01337,96405836,165266,37.22250296,0.063809562,2596,1165,42.689307,-72.582249,,
01338,8946607,12299,3.454304421,0.004748671,187,82,42.572652,-72.824428,,
01339,142392158,630079,54.97792191,0.243274872,1438,787,42.603776,-72.889644,,
01340,114430561,658628,44.18188849,0.254297703,1701,954,42.694726,-72.711079,,
01341,92426089,465179,35.68591399,0.179606624,1833,801,42.496937,-72.709414,,
01342,46190734,2211971,17.83434286,0.854046814,1492,518,42.543889,-72.609458,,
01343,12615499,76887,4.870871602,0.029686238,75,38,42.657625,-72.978931,,
01344,35313664,1342460,13.63468248,0.518326726,1498,654,42.613418,-72.426427,,
01346,54379277,99661,20.99595712,0.038479329,533,429,42.693275,-72.823113,,
01347,1495232,221070,0.577312327,0.085355608,166,75,42.559294,-72.518753,,
01349,19874430,573426,7.67356065,0.221401026,1091,496,42.563061,-72.482122,,
01350,27768017,274112,10.72129176,0.105835239,121,77,42.727772,-72.985346,,
01351,54198079,1126552,20.92599618,0.434964177,2270,1032,42.53988,-72.521689,,
01354,35647707,2665409,13.76365721,1.029120212,1500,608,42.624076,-72.508643,,
01355,122713549,35676837,47.37996817,13.77490436,878,418,42.458522,-72.327219,,
01360,88796644,2812794,34.28457738,1.086025881,3032,1391,42.677091,-72.453876,,
01364,101602863,2854976,39.22908639,1.102312443,7969,3652,42.615152,-72.289902,,
01366,104649746,1453531,40.40549454,0.561211481,1277,566,42.475621,-72.192468,,
01367,68727436,1770127,26.53581252,0.683449885,522,300,42.695532,-72.909148,,
01368,108369099,1829133,41.84154483,0.70623223,1261,578,42.679456,-72.176935,,
01370,129031063,1398461,49.81917407,0.539948834,4084,1976,42.593338,-72.726941,,
01373,62576781,1471565,24.16103125,0.568174447,4600,2076,42.473862,-72.615612,,
01375,36856254,1349204,14.23027983,0.520930599,3684,1729,42.466762,-72.546855,,
01376,7149877,1465720,2.760583061,0.56591768,5247,2503,42.59528,-72.555002,,
01378,88114809,812951,34.0213194,0.313882149,774,441,42.673533,-72.353213,,
01379,78233305,962449,30.20604922,0.371603652,813,420,42.55631,-72.407148,,
01420,78520256,1778875,30.31684162,0.686827507,40337,17128,42.584925,-71.816862,,
01430,95807807,6750019,36.99160266,2.606197017,6089,2606,42.657005,-71.923442,,
01431,61389725,1002029,23.70270634,0.386885576,3074,1191,42.676293,-71.832523,,
01432,21888062,1219817,8.451028345,0.470973997,7089,3422,42.566573,-71.575135,,
01434,13678208,401234,5.281185859,0.15491732,1795,122,42.539088,-71.611613,,
01436,24849921,506517,9.594608546,0.195567315,3336,1214,42.603375,-72.088395,,
01438,1403430,48435,0.541867375,0.018700859,559,214,42.562243,-72.031402,,
01440,62268795,2487879,24.04211718,0.960575493,20347,9179,42.586516,-71.988062,,
01450,84853731,2575943,32.7622101,0.994577195,10646,3989,42.61176,-71.565269,,
01451,49550919,1682988,19.1317176,0.649805327,4747,1824,42.501908,-71.568201,,
01452,106373488,2406515,41.07103508,0.929160676,4382,1662,42.489598,-72.002878,,
01453,73735859,1369889,28.46957553,0.528917122,40883,17912,42.51996,-71.763075,,
01460,42791669,2583059,16.52195647,0.997324698,8924,3477,42.535931,-71.490569,,
01462,68579436,3269933,26.4786694,1.262528243,10086,4133,42.582607,-71.720464,,
01463,58533407,1546295,22.59987575,0.597027863,11497,4348,42.670642,-71.602857,,
01464,38884871,204034,15.01353327,0.078777971,7211,2427,42.573654,-71.640986,,
01467,4908783,28882,1.895291793,0.011151403,316,141,42.492367,-71.609303,,
01468,55425624,688465,21.39995398,0.265817834,4021,1671,42.542767,-72.068345,,
01469,59261468,606711,22.88098169,0.234252437,6801,2572,42.665059,-71.695333,,
01473,91766611,4719705,35.4312881,1.822288366,7277,2960,42.5546,-71.90544,,
01474,25690700,78185,9.919235147,0.030187399,2125,813,42.669685,-71.752751,,
01475,110986284,2716014,42.85204565,1.048658913,10270,4179,42.66816,-72.055644,,
01501,40018190,2420118,15.4511102,0.934412824,16075,6770,42.198708,-71.846006,,
01503,33598202,523984,12.97233887,0.202311362,2866,1189,42.384929,-71.633889,,
01504,28685128,819182,11.07539031,0.316287952,9026,3628,42.039991,-71.532406,,
01505,41598694,9562396,16.06134623,3.692061894,4355,1778,42.355049,-71.716157,,
01506,40266781,2729462,15.54709172,1.053851215,3390,1493,42.181793,-72.107473,,
01507,109254326,4179167,42.1833329,1.613585468,12981,4885,42.133935,-71.968025,,
01510,14645926,4178501,5.654823883,1.613328324,13606,6397,42.411887,-71.690005,,
01515,25514944,1433058,9.851375373,0.553306811,2183,931,42.209682,-72.040178,,
01516,95201650,4019691,36.75756413,1.552011438,8500,3306,42.053072,-71.752241,,
01518,22976455,1925342,8.871259249,0.743378734,2974,1326,42.127477,-72.118818,,
01519,28261149,279201,10.9116911,0.107800113,6595,2539,42.203404,-71.679739,,
01520,46830036,1794650,18.08117875,0.692918268,13997,5339,42.336371,-71.850626,,
01521,31841683,1990803,12.29414306,0.768653368,2481,1365,42.046798,-72.180149,,
01522,42419059,1399750,16.37809094,0.540446519,3310,1298,42.375634,-71.867382,,
01523,65263989,1138106,25.1985681,0.439425202,7582,2462,42.482819,-71.675513,,
01524,41375156,2508035,15.97503772,0.968357768,6696,2594,42.249603,-71.919217,,
01525,1162429,81164,0.448816365,0.031337597,290,120,42.106794,-71.630518,,
01527,40323227,1862226,15.56888565,0.719009509,13246,5618,42.192246,-71.777649,,
01529,12706301,151536,4.905930452,0.058508379,3190,1162,42.036642,-71.578779,,
01531,53842961,405495,20.78888435,0.156562501,999,390,42.319125,-72.130814,,
01532,47852201,705487,18.47583888,0.272390065,14155,5314,42.323342,-71.646236,,
01534,22682354,325730,8.757706213,0.125765061,5631,2123,42.142074,-71.643348,,
01535,55084070,1759511,21.26807923,0.679351024,4680,2058,42.267564,-72.066876,,
01536,21598203,755400,8.339113154,0.291661583,6888,2794,42.231309,-71.692642,,
01537,18085937,295745,6.983019612,0.114187788,2248,1077,42.158966,-71.897051,,
01540,50128319,2048507,19.35465299,0.790933008,11291,4395,42.116168,-71.857369,,
01541,91709834,1032231,35.40936638,0.398546634,3413,1339,42.454125,-71.87754,,
01542,10426627,422661,4.025743363,0.163190331,2202,829,42.204251,-71.908907,,
01543,90918826,2972193,35.10395647,1.147570182,7973,2990,42.388977,-71.970514,,
01545,53712526,2715591,20.73852311,1.048495591,35299,13955,42.284767,-71.714228,,
01550,52512755,1627401,20.27528892,0.628343066,16719,7527,42.059669,-72.03404,,
01560,9238873,270445,3.56714896,0.104419403,4527,1844,42.175395,-71.674223,,
01561,319273,0,0.123272,0,330,102,42.44397,-71.685583,,
01562,85038323,3036877,32.83348147,1.172544815,11688,5295,42.247211,-71.991867,,
01564,79343448,2761462,30.63467784,1.066206484,7808,2965,42.447924,-71.776045,,
01566,73430539,2562230,28.35169082,0.989282576,6294,2663,42.103214,-72.079545,,
01568,55529918,593264,21.44022212,0.229060521,7480,2808,42.176525,-71.603588,,
01569,75315947,1580796,29.07965095,0.610348774,13569,5349,42.055892,-71.631294,,
01570,32048670,5780810,12.37406119,2.231983314,16767,8011,42.047532,-71.846952,,
01571,53915863,2717076,20.81703197,1.049068953,11390,4403,42.053778,-71.935075,,
01581,53312878,2229292,20.58421815,0.86073449,18272,7350,42.268426,-71.613309,,
01583,32672267,2354742,12.61483335,0.909171008,7591,2721,42.369417,-71.785036,,
01585,66174237,1669484,25.55001683,0.644591404,4554,2049,42.240795,-72.162644,,
01588,22296389,1660430,8.608684287,0.641095634,9733,3903,42.119228,-71.671821,,
01590,82903473,4181050,32.00921124,1.614312499,8875,3360,42.132051,-71.750318,,
01602,14936885,631588,5.767163786,0.2438575,22819,9451,42.271563,-71.849991,,
01603,11691789,340396,4.514225162,0.131427636,19916,7950,42.244637,-71.843925,,
01604,16677756,474175,6.439317866,0.183079999,34677,15570,42.253254,-71.767957,,
